Comment,Designator,Footprint,LCSC,Quantity
4.7nF,"C1,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C147,C148,C149,C15,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C16,C160,C161,C162,C163,C164,C166,C167,C168,C169,C17,C170,C171,C172,C173,C174,C175,C176,C177,C178,C179,C18,C180,C181,C182,C183,C184,C185,C186,C187,C188,C189,C19,C190,C191,C192,C193,C194,C195,C196,C197,C198,C199,C2,C200,C201,C202,C203,C204,C22,C23,C24,C27,C28,C29,C3,C30,C31,C33,C34,C35,C36,C37,C38,C39,C4,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C5,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C6,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99",C_0402,C1525,188
10uF,"C21,C25",C_0402,C15525,2
SLSS49E-3,"U1,U10,U11,U12,U13,U14,U16,U17,U18,U2,U20,U22,U23,U24,U25,U26,U27,U28,U29,U3,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U4,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U5,U50,U52,U53,U54,U55,U57,U58,U59,U6,U60,U61,U64,U65,U66,U67,U7,U70,U71,U72,U73,U75,U76,U77,U78,U79,U8,U80,U82,U83,U84,U86,U87,U88,U89,U9,U90,U91,U92,U93,U94,U95,U96,U97,U98,U99",SLSS49E_MX_1U,C19089525,87
22R,"R12,R13",R_0402,C25092,2
R_Small_US,R10,R_0402_1005Metric,C25117,1
10k,R9,R_0402,C25744,1
1k5,R11,R_0402,C25867,1
8Mhz,Y2,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C341522,1
LED,D1,LED-6028,C364964,1
AMS1117-3.3,U63,SOT-223-3_TabPin2,C6186,1
CD74HC4067SM,"U15,U21,U51,U56,U62,U68,U69,U74",TSSOP-24_4.4x7.8mm_P0.65mm,C98457,8
Conn_01x04,J2,JST-SR-4,,1
SW_Push,SW2,SW_Push_SPST_NO_Alps_SKRK,,1
STM32F072C8Tx,U100,LQFP-48_7x7mm_P0.5mm,,1
SW_Push,SW1,SW_Push_SPST_NO_Alps_SKRK,,1
